municipality,latitude,longitude,surface_total_in_m2,surface_covered_in_m2,rooms,price_aprox_usd
Monserrat,-34.6156378,-58.3904158,42.0,42.0,,78000.0
Monserrat,-34.6143545,-58.3789342,49.0,45.0,2.0,153000.0
Congreso,-34.606417,-58.385469,158.0,158.0,5.0,325000.0
Flores,-34.622264,-58.462749,43.0,40.0,2.0,105000.0
Palermo,-34.5975105,-58.424968,81.0,75.0,3.0,170000.0
Palermo,-34.5782727,-58.4305343,52.0,48.0,2.0,140000.0
Boedo,-34.63099,-58.4201892,36.0,34.0,,69458.0
Palermo,-34.5742806,-58.4346696,44.0,40.0,2.0,110000.0
Congreso,-34.6204532,-58.4029587,43.0,39.0,,103981.68
Retiro,-34.6000429,-58.3782438,55.0,48.0,2.0,160000.0
Saavedra,-34.5608555,-58.4871561,55.0,51.0,2.0,105000.0
Barrio Norte,-34.5971477,-58.3889847,120.0,110.0,4.0,300000.0
Congreso,-34.6073418,-58.3907693,75.0,75.0,3.0,133000.0
Villa Devoto,-34.5936389,-58.5061652,50.0,50.0,3.0,88000.0
Villa Urquiza,-34.5688712,-58.4884216,51.0,42.0,2.0,112419.0
Villa Crespo,-34.604515,-58.437133,65.0,56.0,3.0,137000.0
Palermo,-34.574527,-58.4343949,78.0,70.0,4.0,200000.0
Puerto Madero,-34.6153103,-58.3619834,51.0,47.0,2.0,174250.0
Villa Devoto,-34.5915663,-58.5068965,88.0,79.0,4.0,268000.0
Liniers,-34.6430209603,-58.5109811153,69.0,49.0,3.0,135000.0
Flores,-34.6442238986,-58.4573940742,42.0,38.0,,84280.0
Almagro,-34.6119796,-58.4222431,45.0,45.0,2.0,90000.0
Palermo,-34.569335,-58.4348693,110.0,60.0,3.0,265000.0
Villa Urquiza,-34.5731507,-58.482362,76.0,65.0,3.0,189302.0
Las Cañitas,-34.5675474818,-58.4323055182,65.0,60.0,3.0,205000.0
Boedo,-34.63099,-58.4201892,58.0,38.0,,102000.0
Agronomía,-34.589875,-58.4771736,43.0,38.0,2.0,95000.0
Almagro,-34.6157145,-58.4170203,44.0,44.0,,95000.0
Villa Urquiza,-34.5798552,-58.4916429,38.0,38.0,2.0,90000.0
San Telmo,-34.6244303,-58.3741828,52.0,47.0,2.0,107720.0
San Telmo,-34.6197085691,-58.3744502855,55.0,55.0,3.0,105000.0
San Telmo,-34.6269253507,-58.3724840391,115.0,77.0,2.0,299000.0
Floresta,,,70.0,70.0,,129900.0
Nuñez,-34.5541654,-58.4655168,37.0,35.0,1.0,98000.0
Villa Crespo,-34.6047969,-58.454126,39.0,35.0,2.0,109500.0
Almagro,-34.5707547,-58.5414898,47.0,42.0,1.0,88549.51
Barrio Norte,-34.5888184,-58.3893177,111.0,111.0,4.0,300000.0
Balvanera,-34.6086686,-58.3976941,74.0,67.0,3.0,148000.0
Flores,-34.6315375,-58.4541557,87.0,79.0,4.0,174000.0
Paternal,-34.6025011,-58.4663309,39.0,35.0,1.0,70000.0
Nuñez,-34.5549509,-58.4671186,55.0,44.0,,149500.0
Belgrano,,,42.0,42.0,2.0,99000.0
Barracas,-34.6321116,-58.3703982,48.0,42.0,1.0,98720.12
Villa del Parque,-34.6288131,-58.4722301,42.0,37.0,1.0,83840.0
Villa Urquiza,-34.57304,-58.479785,61.0,56.0,2.0,165000.0
Boca,-34.627792,-58.360443,72.0,72.0,4.0,125000.0
Belgrano,-34.5684201,-58.4532923,112.0,99.0,4.0,289000.0
Villa Crespo,-34.6051279,-58.4394663,51.0,43.0,2.0,119000.0
Belgrano,-34.5708216,-58.4487136,47.0,34.0,1.0,142000.0
Belgrano,-34.5637245,-58.4410284,132.0,109.0,4.0,325000.0
Barrio Norte,-34.5889201,-58.4002698,43.0,35.0,1.0,135000.0
Nuñez,-34.5444077815,-58.4614236362,137.0,104.0,3.0,325000.0
Villa Crespo,-34.5985929,-58.4331751,194.0,178.0,6.0,370000.0
Villa Crespo,-34.60808733,-58.43089266,50.0,46.0,2.0,105500.0
San Nicolás,-34.5967155,-58.3742292,146.0,141.0,6.0,367000.0
Once,-34.6072023,-58.4035194,74.0,74.0,4.0,99000.0
Barrio Norte,-34.5960569,-58.3959888,170.0,167.0,5.0,400000.0
Barrio Norte,-34.6057005,-58.3779666,48.0,45.0,,114000.0
San Nicolás,-34.6045547,-58.3802473,39.0,36.0,,79000.0
Parque Centenario,-34.6076122891,-58.4401524326,37.0,34.0,,39461.74
Flores,-34.632656,-58.461124,57.0,47.0,2.0,115000.0
San Cristobal,-34.6226547,-58.3953694,65.0,58.0,3.0,112000.0
Congreso,-34.6036844,-58.3815591,43.0,38.0,1.0,91000.0
Almagro,-34.6112232,-58.41567,70.0,70.0,3.0,125000.0
Palermo,-34.5790338,-58.438252,49.0,44.0,2.0,138000.0
Constitución,-34.6215943543,-58.388909319,98.0,94.0,,150000.0
Constitución,-34.6185065,-58.3797127,42.0,40.0,,85000.0
Belgrano,-34.5669885,-58.4579254,58.0,53.0,3.0,127000.0
Palermo,-34.589548,-58.4193856,74.0,67.0,3.0,202616.0
Boedo,-34.625307,-58.415024,86.0,66.0,3.0,165700.0
San Telmo,-34.6206226,-58.3684327,51.0,47.0,2.0,135000.0
Palermo,-34.5937992,-58.4128129,39.0,35.0,,95000.0
Balvanera,-34.603514,-58.4086976,39.0,39.0,,95000.0
Barracas,-34.6302698,-58.3743465,60.0,50.0,3.0,90000.0
Flores,-34.6248691,-58.4627352,95.0,90.0,,240000.0
Flores,,,40.0,37.0,1.0,75000.0
San Cristobal,-34.6223398871,-58.4085322312,84.0,81.0,4.0,255000.0
Monserrat,-34.6177615,-58.383662,42.0,34.0,,82000.0
Palermo,-34.5711496,-58.4232966,56.0,47.0,2.0,127000.0
Belgrano,-34.5613049,-58.4601782,73.0,73.0,3.0,340000.0
Balvanera,-34.6036844,-58.3815591,76.0,76.0,,138000.0
Almagro,-34.609929,-58.415977,81.0,78.0,,160000.0
Paternal,-34.6027679,-58.4568995,60.0,60.0,3.0,115000.0
Almagro,-34.600022,-58.4175858,38.0,38.0,2.0,89000.0
Barracas,-34.6539485,-58.393004,118.0,72.0,3.0,90000.0
Barrio Norte,-34.5924347,-58.401965,127.0,127.0,4.0,330000.0
Monserrat,-34.6200663,-58.3888229,43.0,43.0,,70000.0
Barrio Norte,-34.5820910144,-58.4133710234,51.0,47.0,2.0,190000.0
Caballito,-34.6221405894,-58.4587847804,52.0,47.0,2.0,119000.0
Belgrano,-34.5686264737,-58.4496581554,91.0,81.0,3.0,187000.0
Almagro,-34.6100246,-58.4239755,44.0,42.0,2.0,75000.0
Villa Crespo,-34.5981047382,-58.4342551947,72.0,60.0,3.0,220000.0
Once,-34.6097193,-58.4018129,111.0,98.0,,150000.0
Flores,-34.6186349,-58.478887,35.0,35.0,,55000.0
